,股票代號,公司名稱,上市日期,股價,SMA 10,SMA 50,SMA 100,SMA 250,RSI 10,RSI 14,RSI 20,MACD 8/17,MACD 12/25,成交量
0,00797.HK,第七大道,2018/07/18,770.0,2.751,2.848,2.815,2.272,47.477,46.025,46.108,-0.015,-0.028,0.00
0,00798.HK,中電光谷,2014/03/28,0.51,0.515,0.431,0.419,0.483,54.351,58.71,60.391,0.008,0.02,27.20萬
0,00799.HK,IGG,2013/10/18,5.62,5.28,4.937,5.207,5.775,71.661,67.471,63.07,0.15,0.138,1.20千萬
0,00800.HK,Ａ８新媒體,2008/06/12,0.147,0.141,0.135,0.149,0.169,60.984,57.709,54.85,0.004,0.003,0.00
0,00801.HK,金衛醫療,2001/12/28,730.0,0.613,0.556,0.659,0.783,83.404,77.519,70.595,0.041,0.031,0.00
0,00802.HK,中國錢包,2009/02/10,0.078,0.085,0.085,0.098,0.126,39.475,41.933,43.174,-0.001,-0.001,1.59百萬
0,00803.HK,昌興國際,2001/08/02,40.0,0.04,0.056,0.07,0.137,31.021,33.777,36.413,-0.003,-0.005,32.60萬
0,00804.HK,鼎石資本,2015/06/12,0.162,0.171,0.179,0.159,0.142,31.985,36.119,40.923,-0.01,-0.008,2.48百萬
0,00806.HK,惠理集團,2007/11/22,3.67,3.434,3.15,3.51,3.964,68.759,66.428,62.532,0.151,0.136,9.32百萬
0,00807.HK,上海實業環,2018/03/23,1.24,1.257,1.266,1.337,1.42,41.149,42.779,44.14,-0.013,-0.011,29.20萬
0,00808.HK,泓富產業信,2005/12/16,2.31,2.317,2.361,2.576,2.887,50.484,48.875,47.084,-0.001,-0.014,88.60萬
0,00809.HK,大成生化科,2001/03/16,130.0,0.133,0.135,0.135,0.146,40.964,43.806,45.554,-0.001,-0.001,71.40萬
0,00810.HK,中國互聯網,2002/02/28,100.0,0.107,0.118,0.124,0.157,41.256,42.701,43.808,-0.002,-0.003,0.00
0,00811.HK,新華文軒,2007/05/30,4.97,5.12,5.182,5.257,5.45,38.204,40.762,42.911,-0.057,-0.048,86.50萬
